spotify_primary_artist_name,musicbrainz_artist_gender
Lil Scrappy,male
Bunny Sigler,male
Justin Moore,male
Ashton Shepherd,female
Peter Frampton,male
Hank Williams III,male
Serj Tankian,male
Lil Jon,male
Rick Ross,male
Shawn Mendes,male
Jhené Aiko,female
Carrie Underwood,female
Waka Flocka Flame,male
Calum Scott,male
Wynton Marsalis,male
Luke James,male
Key Glock,male
Meredith Andrews,female
Wiz Khalifa,male
NAV,male
Summer Walker,female
Tevin Campbell,male
Kate Voegele,female
Alice Cooper,male
Moneybagg Yo,male
J Alvarez,male
Gloria Gaynor,female
Joe Cocker,male
Bill Wyman,male
Chris Isaak,male
Glenn Frey,male
Diane Birch,female
Joss Stone,female
Paul Oakenfold,male
Brett Dennen,male
Trae Tha Truth,male
Thalia,female
Jason Castro,male
Devendra Banhart,male
Mayer Hawthorne,male
G Herbo,male
HARDY,female
DJ Shadow,male
Janis Ian,female
Ted Nugent,male
Harry Nilsson,male
Billy Swan,male
Johnny Nash,male
Michael Martin Murphey,male
Walter Egan,male
Melissa Manchester,female
Edgar Winter,male
Melanie,female
Terry Jacks,male
Willie Nelson,male
Jerry Reed,male
Billy Paul,male
Lynn Anderson,female
Lou Rawls,male
Teddy Pendergrass,male
Marilyn McCoo,female
Vicki Sue Robinson,female
Phyllis Hyman,female
P.O.S,male
Mack 10,male
Ricky Martin,male
PinkPantheress,female
Big Sean,male
Janet Jackson,female
Regina Spektor,female
Sada Baby,male
Frank Zappa,male
deadmau5,male
El DeBarge,male
Lana Del Rey,female
Tate McRae,female
Tom Cochrane,male
Gracie Abrams,female
Yo Gotti,male
Amanda Palmer,female
girl in red,female
Nellie McKay,female
Tony Dize,male
Luke,male
Gunna,male
Lianne La Havas,female
Nat King Cole,male
Bobby Sherman,male
Iron & Wine,male
Sammi Smith,female
Yeat,male
B.B. King,male
Otis Redding,male
Jamie Foxx,male
Bobby Jones,male
Ravi Shankar,male
Jeremy Zucker,male
Lloyd,male
Rumer,female
Keyshia Cole,female
VaShawn Mitchell,male
Ricardo Arjona,male
Amy Macdonald,female
K. Michelle,female
Amil,female
St. Lucia,male
Lyfe Jennings,male
David Porter,male
Juice WRLD,male
Duane Allman,male
Ace Hood,male
EDEN,male
Common,male
Rachael Yamagata,female
Shyheim,male
Granger Smith,male
Alejandro Sanz,male
Phillip Phillips,male
Tyga,male
Anthony Green,male
David Gilmour,male
Canibus,male
Jim Jones,male
Sabrina Carpenter,female
Jenny Lewis,female
iann dior,male
JAY-Z,male
Machine Gun Kelly,male
Slick Rick,male
Mary Lambert,female
Lil Wayne,male
Xzibit,male
MIKA,male
KT Tunstall,female
Inspectah Deck,male
Ray Cash,male
Kaskade,male
DMX,male
Sleepy Hallow,male
Solange,female
Michael McDonald,male
Jack White,male
Paul Baloche,male
Shelby Lynne,female
Troye Sivan,male
YoungBoy Never Broke Again,male
Louis Tomlinson,male
Flo Milli,female
B.G.,male
Ari Lennox,female
Kem,male
Lizzy McAlpine,female
2 Chainz,male
Travis Barker,male
Mariah Carey,female
Kid Cudi,male
Ivan Cornejo,male
Post Malone,male
YUNGBLUD,male
Emeli Sandé,female
Mark Knopfler,male
Twista,male
Kavinsky,male
Tori Amos,female
Erick Sermon,male
G-Eazy,male
Brother Ali,male
Tones And I,female
Muni Long,female
Erykah Badu,female
AURORA,female
Rob Thomas,male
Lil Yachty,male
Nessa Barrett,female
C-Murder,male
Eladio Carrion,male
DJ Quik,male
Meek Mill,male
David Clayton-Thomas,male
J Balvin,male
Don Toliver,male
Blood Raw,male
Teairra Marí,female
Shyne,male
Faith Hill,female
Gary Allan,male
Billy Currington,male
Myles Kennedy,male
blackbear,male
Nick Jonas,male
David Archuleta,male
Marco Antonio Solís,male
Remy Ma,female
Sha EK,male
Anna Nalick,female
Mark Morrison,male
PARTYNEXTDOOR,male
Laura Mvula,female
Warren G,male
Roger Waters,male
Asher Roth,male
Trina,female
Amos Lee,male
Eve,female
Gorilla Zoe,male
Kris Kristofferson,male
Ja Rule,male
Roscoe Dash,male
Montana of 300,male
Yandel,male
David Gray,male
NLE Choppa,male
Ice Cube,male
Jaheim,male
The White Buffalo,male
Raekwon,male
Jill Scott,female
Gary Numan,male
Birdman,male
Spice 1,male
Donna Summer,female
David Soul,male
Young Nudy,male
Natalia Jiménez,female
Boney James,male
City and Colour,male
Chris Tomlin,male
PnB Rock,male
6LACK,male
Nicki Minaj,female
Russell Dickerson,male
Young M.A,female
GloRilla,female
Redman,male
Kygo,male
Germán Montero,male
Justin Furstenfeld,male
David Bromberg,male
Stevie Wonder,male
Al Wilson,male
Yung Joc,male
Larry June,male
George Michael,male
Mary J. Blige,female
Chris Janson,male
Ry Cooder,male
Wild Nothing,male
Steve Aoki,male
KYLE,male
Eric Benét,male
Prince Royce,male
Warren Haynes,male
Kodak Black,male
Polo G,male
Rachael Lampa,female
Lil' Kim,female
Daley,male
Sheff G,male
Flux Pavilion,male
Juanes,male
Donald Lawrence & Company,male
Jake Owen,male
John Denver,male
Tamar Braxton,female
Flo Rida,male
Jem,female
Van Morrison,male
Ty Dolla $ign,male
Dessa,female
Christian Nodal,male
Everlast,male
Petey Pablo,male
Rapsody,female
Noah Gundersen,male
Patty Griffin,female
James Blunt,male
Katie Melua,female
Drag-On,male
H.E.R.,female
Josh Ritter,male
Roy Woods,male
John Mellencamp,male
Lindsey Buckingham,male
Bryson Tiller,male
Grayson Hugh,male
Selena,female
Anastacia,female
Alejandro Fernández,male
Michael Bolton,male
Jamie Cullum,male
Sasha,male
David Bisbal,male
Chaka Khan,female
Evidence,male
Nate Dogg,male
Irene Cara,female
Devin The Dude,male
Foy Vance,male
Benny The Butcher,male
Travis Tritt,male
Randy Travis,male
Aimee Mann,female
M.C. Breed & DFC.,male
Queen Naija,female
Jeezy,male
Bobby Womack,male
El Dasa,male
Special Ed,male
Laura Story,female
Plies,male
Levon Helm,male
Les Claypool,male
Stevie Nicks,female
Brandy,female
Boots Randolph,male
Zakk Wylde,male
Bonnie Tyler,female
Charley Crockett,male
Melinda Doolittle,female
Lil Tjay,male
Oliver Tree,male
Matt Maher,male
Tauren Wells,male
Lincoln Brewster,male
Kevin Devine,male
Esperanza Spalding,female
Blake Lewis,male
Chamillionaire,male
Paul Thorn,male
Linda Ronstadt,female
Fantasia,female
Missy Elliott,female
Z-Ro,male
Marshmello,male
Josh Krajcik,male
Yung Berg,male
Lou Bega,male
Todd Rundgren,male
Steady B,male
Peter Brown,male
Julien Baker,female
Jenni Rivera,female
Cordae,male
John Prine,male
Cappadonna,male
Mr. Cheeks,male
David Banner,male
Uncle Kracker,male
YNW Melly,male
Kali Uchis,female
Courtney Barnett,female
Prince Paul,male
JT Money,male
John Mayer,male
Natalie Cole,female
Sturgill Simpson,male
Beanie Sigel,male
Lenny Kravitz,male
Joe Bonamassa,male
Emmylou Harris,female
Five For Fighting,male
Snoop Dogg,male
Nigo,male
Basia,female
Todd Agnew,male
Chingo Bling,male
Jim Croce,male
Slaine,male
Prince,male
Martha Munizzi,female
YFN Lucci,male
DJ Kay Slay,male
Paul Wall,male
Todd Dulaney,male
Busta Rhymes,male
Obie Trice,male
Andrew McMahon in the Wilderness,male
Arcángel,male
Halsey,female
Mark Ronson,male
Bonobo,male
Mason Williams,male
Dierks Bentley,male
Lil' Troy,male
Pleasure P,male
Jason Gray,male
Colter Wall,male
Pusha T,male
B.o.B,male
Tasha Cobbs Leonard,female
Taj Mahal,male
Rivers Cuomo,male
Ski Mask The Slump God,male
Method Man,male
Keith Anderson,male
Franco De Vita,male
Lloyd Banks,male
Jimmy Buffett,male
Dillon Francis,male
Yukmouth,male
Aaron Neville,male
Avril Lavigne,female
DJ Sammy,male
Mac DeMarco,male
Heavy D,male
Lucas Hoge,male
Meat Loaf,male
Erica Campbell,female
Rah Digga,female
Darryl Worley,male
Josh Turner,male
B Rich,male
Fivio Foreign,male
Kenny Chesney,male
Eric Church,male
Kanye West,male
Latto,female
Gloria Estefan,female
Olivia Newton-John,female
Alexander O'Neal,male
Ella Mai,female
Suzanne Vega,female
Ed Sheeran,male
dodie,female
Pharoahe Monch,male
Rosie O'Donnell,female
Bubba Sparxxx,male
Billie Eilish,female
Delta Goodrem,female
Jaguar Wright,female
Tori Kelly,female
Joyner Lucas,male
Rappin' 4-Tay,male
Canton Jones,male
Don Q,male
Tinie Tempah,male
Sarah Brightman,female
A$AP Rocky,male
Blueface,male
Jon Pardi,male
Maren Morris,female
Chris Young,male
Fatboy Slim,male
Bruce Cockburn,male
Tee Grizzley,male
Talib Kweli,male
Blanca,female
Money Man,male
2 Pistols,male
Shawn Colvin,female
Angel Olsen,female
Big Scarr,male
Steve Earle,male
Scarface,male
Steve Hackett,male
Jerry Cantrell,male
Smokepurpp,male
Kesha,female
Tyrese,male
Kenny Loggins,male
Mabel,female
Steven Curtis Chapman,male
Lee Brice,male
Chief Keef,male
Morgan Wallen,male
John Legend,male
Mase,male
Tink,female
Marc Broussard,male
Jazmine Sullivan,female
Devin Dawson,male
Beck,male
Ms. Dynamite,female
Danielle Bradbery,female
Daniel Powter,male
Johnny Winter,male
Colton Dixon,male
Danielle Peck,female
The Tallest Man On Earth,male
Quinn XCII,male
Lil Pump,male
Enya,female
Birdy,female
Guerilla Black,male
Blu Cantrell,female
Seth MacFarlane,male
Priscilla Ahn,female
Bill Gaither,male
Rina Sawayama,female
David Byrne,male
Luke Combs,male
Lil' O,male
Todd Snider,male
Sully Erna,male
Robyn,female
Bob Weir,male
Loudon Wainwright III,male
Chelsea Wolfe,female
Phil Vassar,male
Drake,male
CeCe Winans,female
Lecrae,male
Sarah McLachlan,female
Don McLean,male
Gryffin,male
James Taylor,male
Ray Davies,male
Blanco Brown,male
Kevin Fowler,male
Aaliyah,female
Patti Scialfa,female
Tracy Lawrence,male
Tinashe,female
Baby Boy Da Prince,male
Aldo Nova,male
J-Kwon,male
Will Downing,male
Leon Bridges,male
Ingrid Andress,female
Sheek Louch,male
Jay Critch,male
Lil Gotit,male
Kris Wu,male
Joe,male
Jim Brickman,male
Q-Tip,male
MARINA,female
Brian McKnight,male
Alan Jackson,male
Sebastian Bach,male
James Brown,male
Wale,male
Samantha Mumba,female
Marvin Winans,male
Marc E. Bassy,male
Skizzy Mars,male
Michelle Branch,female
Ray Conniff,male
Courtney Love,female
50 Cent,male
Anjulie,female
Amanda Marshall,female
Indo G,male
Doja Cat,female
Bilal,male
Amanda Perez,female
Ebony Eyez,female
"Harry Connick, Jr.",male
Poppy,female
Famous Dex,male
Gabby Barrett,female
Matthew West,male
Bryan Adams,male
Leona Lewis,female
The Alchemist,male
Elephant Man,male
Freddie Gibbs,male
Chelsea Cutler,female
Robert Earl Keen,male
David Cook,male
A$AP Twelvyy,male
Amy Grant,female
GoldLink,male
Julio Iglesias,male
Ricky Nelson,male
Riley Green,male
Ryan Adams,male
Tommy Torres,male
Fat Joe,male
Easton Corbin,male
Rebecca St. James,female
David Foster,male
Memphis Bleek,male
Melissa Etheridge,female
Hurricane Chris,male
Big K.R.I.T.,male
King Los,male
Scott Weiland,male
Megan Thee Stallion,female
Snoh Aalegra,female
Jeremih,male
Watsky,male
Jordan Smith,male
Ray J,male
Tina Turner,female
Mozzy,male
William Fitzsimmons,male
Jarvis Cocker,male
Lauv,male
Parker McCollum,male
Skee-Lo,male
Saweetie,female
Fred Hammond,male
Juelz Santana,male
Berner,male
LeAnn Rimes,female
Smokie Norful,male
Gerald Levert,male
Styles P,male
Chris de Burgh,male
Peter Murphy,male
Ian Hunter,male
Bushwick Bill,male
Barry Gibb,male
Brandi Carlile,female
Kevin Rudolf,male
Ingrid Michaelson,female
Jesse McCartney,male
Carol Douglas,female
Peggy Lee,female
Christy Nockels,female
Samara Joy,female
Eamon,male
Armin van Buuren,male
Shy Glizzy,male
Kid Ink,male
Alina Baraz,female
Sueco,male
21 Savage,male
Susan Boyle,female
Don Omar,male
BIG30,male
Chris Lane,male
Ms. Jade,female
James Blake,male
FLETCHER,female
Veeze,male
Freeway,male
Omar Apollo,male
Kid Rock,male
Dave East,male
Karla Bonoff,female
Conan Gray,male
WC,male
Babyface,male
Kate Earl,female
Kellie Pickler,female
Katharine McPhee,female
Rick Springfield,male
Aaron Lewis,male
Dave Hollister,male
BRS Kash,male
42 Dugg,male
Tye Tribbett,male
Jamie xx,male
BJ The Chicago Kid,male
Keri Hilson,female
David Crosby,male
Destroy Lonely,male
Sean Price,male
Tempo,male
Little Steven,male
Brian Wilson,male
Jadakiss,male
Heather Headley,female
Kierra Sheard,female
Reba McEntire,female
Still Woozy,male
Cassadee Pope,female
Maino,male
Popcaan,male
Ben Rector,male
Lupe Fiasco,male
Anderson .Paak,male
Bruce Springsteen,male
Pat Monahan,male
Loreena McKennitt,female
Will Smith,male
Kirk Franklin,male
Darius Rucker,male
Gotye,male
Jonathan McReynolds,male
Thomas Rhett,male
John Carpenter,male
Natalie Imbruglia,female
JD McPherson,male
Wizkid,male
Natalie Merchant,female
Shwayze,male
Silkk The Shocker,male
Canon,male
Chinx,male
DJ Kool,male
Andy Grammer,male
Liz Phair,female
Laura Izibor,female
Mia X,female
Tone-Loc,male
Smino,male
Luther Vandross,male
Donell Jones,male
Travie McCoy,male
Christina Aguilera,female
Gunplay,male
Dylan Scott,male
Phil Wickham,male
Peaches,female
Matisyahu,male
Jon McLaughlin,male
"Grover Washington, Jr.",male
Chely Wright,female
Loon,male
Tame Impala,male
Ani DiFranco,female
Lauren Daigle,female
8Ball,male
Jason Crabb,male
Raheem DeVaughn,male
2Pac,male
Andy Williams,male
Erin McCarley,female
Lil' Keke,male
Charlie Wilson,male
A$AP Ferg,male
Ziggy Marley,male
Bryan Ferry,male
Jessie Reyez,female
KAYTRANADA,male
Rich The Kid,male
Stunna 4 Vegas,male
Rhymefest,male
Too $hort,male
Jimmy Fallon,male
ILLENIUM,male
Brandon Flowers,male
Megan Moroney,female
Flying Lotus,male
Alison Wonderland,female
Jim Nabors,male
Gladys Knight,female
Mike Posner,male
Ashanti,female
Mario,male
French Montana,male
Roger Daltrey,male
Bone Crusher,male
Maluma,male
Andrew Bird,male
Bette Midler,female
Syd,male
Blac Youngsta,male
John Mark McMillan,male
Kim Petras,female
Elliott Smith,male
Luke Bryan,male
Quincy Jones,male
Tamela Mann,female
Orianthi,female
Bebe Rexha,female
CeCe Peniston,female
Tedashii,male
Nature,male
Hotboii,male
Josh Kelley,male
Selena Gomez,female
Lil Poppa,male
Glen Campbell,male
Shawnna,female
Maxo Kream,male
Musiq Soulchild,male
Jon Secada,male
Laura Branigan,female
Gangsta Boo,female
RuPaul,female
Herbie Hancock,male
Donny Hathaway,male
Bo Burnham,male
Christina Grimmie,female
Johnny Gill,male
Brittany Howard,female
Jake Bugg,male
J. Cole,male
Hayes Carll,male
Alesso,male
Lionel Richie,male
DRS,male
Jonathan Butler,male
Eminem,male
Joe Perry,male
Joe Budden,male
Mystikal,male
Gloria Trevi,female
Liam Payne,male
Rita Ora,female
Gary Go,male
Steve Lacy,male
Yung Gravy,male
Kari Jobe,female
MC Ren,male
Jeffree Star,male
Vivian Green,female
Tamia,female
Beenie Man,male
Rich Homie Quan,male
J. Holiday,male
Bebel Gilberto,female
Comethazine,male
V.I.C.,male
Chris Cagle,male
Jordin Sparks,female
Blxst,male
Elizaveta,female
Byron Cage,male
Pop Smoke,male
Cat Power,female
Julianne Hough,female
StaySolidRocky,male
Camila Cabello,female
Jonathan Edwards,male
Tricky,male
LeToya Luckett,female
XXXTENTACION,male
George Benson,male
Yung Bleu,male
Killer Mike,male
Sammy Hagar,male
Fireboy DML,male
Miranda Lambert,female
Toosii,male
Carman,male
Frank Mills,male
Murs,male
BT,male
Owl City,male
Mista,male
Matt Nathanson,male
John Forte,male
Quando Rondo,male
Lady Sovereign,female
Mura Masa,male
Young Thug,male
Real Boston Richey,male
Smokey Robinson,male
Grace Jones,female
DJ Drama,male
Suzi Quatro,female
Shania Twain,female
Mustard,male
Shareefa,female
Minnie Riperton,female
Natasha Bedingfield,female
Hoodie Allen,male
Julian Casablancas,male
Bad Azz,male
Hayley Williams,female
Elle Varner,female
Sleepy Brown,male
Mack Wilds,male
Laura Nyro,female
Trevor Daniel,male
Nick Heyward,male
NoCap,male
Ryan Cabrera,male
Skye Sweetnam,female
Christopher Williams,male
Kardinal Offishall,male
Julia Michaels,female
Iggy Pop,male
Joe Jackson,male
Huey,male
Chris August,male
Bow Wow,male
Mat Kearney,male
Lissie,female
Isaac Hayes,male
Borgore,male
Jarren Benton,male
Kat Dahlia,female
Elvis Costello,male
Ed Ames,male
Coolio,male
RL Grime,male
Damien Rice,male
Leela James,female
Dreezy,female
Charlie Puth,male
OMI,male
Matt Kennon,male
Imelda May,female
Deitrick Haddon,male
Lauren Spencer Smith,female
Denzel Curry,male
Kendrick Lamar,male
Action Bronson,male
Lorde,female
Jerry Lee Lewis,male
Crowder,male
Michael Grimm,male
Feist,female
Stephen Marley,male
Bas,male
Pete Yorn,male
John Newman,male
Trevor Hall,male
Lil Skies,male
Jake Miller,male
Harry Chapin,male
J Moss,male
Jackie Evancho,female
Lil Keed,male
Truth Hurts,female
Coi Leray,female
SOHN,male
Zedd,male
Ty Segall,male
Montell Jordan,male
Jack Ingram,male
Katherine Jenkins,female
Plácido Domingo,male
Sharon Van Etten,female
Daz Dillinger,male
Kelly Price,female
Gwen Stefani,female
Lennon Stella,female
August Alsina,male
Tony Yayo,male
Hardwell,male
Richie Sambora,male
Gary Clark Jr.,male
Kip Moore,male
Jimi Hendrix,male
Snail Mail,female
Gary Louris,male
Ella Fitzgerald,female
Sisqo,male
Andy Mineo,male
Lumidee,female
Hollyn,female
Howard Jones,male
Gretchen Wilson,female
Swizz Beatz,male
Julian Lennon,male
Kim Walker-Smith,female
Omarion,male
Clay Aiken,male
Ariana Grande,female
Zara Larsson,female
Diddy,male
Hopsin,male
Robert Palmer,male
Paul Potts,male
Paul Simon,male
Ozzy Osbourne,male
Jason Aldean,male
Burna Boy,male
Caribou,male
Ray LaMontagne,male
Queen Latifah,female
Eric Prydz,male
Rufus Wainwright,male
Kacey Musgraves,female
Mandisa,female
Paula DeAnda,female
Stalley,male
The Rocket Summer,male
Hal Ketchum,male
Clarence Carter,male
Wheeler Walker Jr.,male
"Hank Williams, Jr.",male
David Ball,male
Anne Wilson,female
Flume,male
Roy Buchanan,male
Roger Miller,male
Lou Gramm,male
Robbie Williams,male
J.J. Cale,male
Taio Cruz,male
Robert Downey Jr.,male
Mike WiLL Made-It,male
Prodigy,male
Joan Osborne,female
Sage The Gemini,male
Ringo Starr,male
Archie Eversole,male
Conor Oberst,male
Rihanna,female
Neneh Cherry,female
Ralph Tresvant,male
Skrillex,male
Rich Boy,male
Valentín Elizalde,male
Young MC,male
Kat Deluna,female
Rene Rene,female
Beyoncé,female
Chance the Rapper,male
"Sergio Vega ""El Shaka""",male
Víctor Manuelle,male
Bobby V.,male
Jean-Luc Ponty,male
Conway the Machine,male
Agnetha Fältskog,female
Trick Trick,male
Pi’erre Bourne,male
Kiana Ledé,female
Régulo Caro,male
Sinéad O'Connor,female
Finesse2tymes,male
Charlie McCoy,male
Chanté Moore,female
Boosie Badazz,male
Waxahatchee,female
Craig Morgan,male
Sam Harris,male
Sarah Buxton,female
Scotty McCreery,male
Candy Dulfer,female
Webbie,male
Rocko,male
Lisa Hannigan,female
Sass Jordan,female
Richie Rich,male
Khalid,male
Eric Hutchinson,male
Kiesza,female
Cecilia Bartoli,female
I-20,male
Emmy Rossum,female
Sir Mix-A-Lot,male
BoyWithUke,male
MO3,male
Jason Nelson,male
Joe Nichols,male
Jay Sean,male
Joji,male
Pooh Shiesty,male
Ashley McBryde,female
Carrie Lucas,female
Daya,female
Ben Platt,male
BlocBoy JB,male
Daniel Lanois,male
Trey Anastasio,male
Shontelle,female
Dia Frampton,female
John Anderson,male
Kristin Chenoweth,female
Gavin DeGraw,male
Frida,female
will.i.am,male
Herbie Mann,male
Graham Nash,male
Rockie Lynne,male
Duffy,female
Quavo,male
Debbie Harry,female
Jason Isbell,male
Cory Asbury,male
Brett Eldredge,male
Lucy Hale,female
Jay Rock,male
Ace Frehley,male
Kash Doll,female
Kina Grannis,female
Pete Rock,male
Bazzi,male
Rod Wave,male
Rich Mullins,male
Christina Milian,female
Clairo,female
Shawn Mullins,male
Patty Loveless,female
Nicole Atkins,female
Lizzo,female
Ashley Monroe,female
Katy Perry,female
Sheena Easton,female
Gillian Welch,female
Britt Nicole,female
Guy,male
Mac Miller,male
Fergie,female
Rhett Miller,male
Makaveli,male
Jamey Johnson,male
CeeLo Green,male
Alex Clare,male
Foxy Brown,female
Brotha Lynch Hung,male
Javier Colon,male
Marvin Sapp,male
Jack Harlow,male
MAX,male
Mikal Cronin,male
Isaiah Rashad,male
Collie Buddz,male
Beth Orton,female
Cole Swindell,male
RJD2,male
Dr. Dre,male
Cam,female
Mos Def,male
Vanessa Williams,female
Lindsay Ell,female
Young Buck,male
Baby Keem,male
Papoose,male
Thomas Dolby,male
YK Osiris,male
Mannie Fresh,male
Afroman,male
Ryn Weaver,female
Christon Gray,male
Bobbie Gentry,female
Thom Yorke,male
DJ Envy,male
J Dilla,male
Jordan Feliz,male
Corinne Bailey Rae,female
Rich Brian,male
Brian Eno,male
John Mayall,male
David Nail,male
24kGoldn,male
Eddie Vedder,male
The Notorious B.I.G.,male
Bruno Mars,male
Stephen Stills,male
Eliel,male
Anne Murray,female
